DATE,VALUE
2000-01-03,7.28291
2000-01-04,7.24381
2000-01-05,7.24573
2000-01-06,7.24669
2000-01-07,7.27342
2000-01-10,7.28455
2000-01-11,7.27140
2000-01-12,7.26700
2000-01-13,7.27910
2000-01-14,7.28971
2000-01-18,7.28286
2000-01-19,7.28338
2000-01-20,7.27626
2000-01-21,7.27334
2000-01-24,7.24532
2000-01-25,7.25137
2000-01-26,7.24714
2000-01-27,7.24320
2000-01-28,7.21536
2000-01-31,7.24026
2000-02-01,7.25083
2000-02-02,7.25072
2000-02-03,7.26191
2000-02-04,7.26148
2000-02-07,7.26139
2000-02-08,7.27359
2000-02-09,7.25255
2000-02-10,7.25618
2000-02-11,7.23498
2000-02-14,7.23702
2000-02-15,7.24569
2000-02-16,7.23538
2000-02-17,7.23581
2000-02-18,7.20496
2000-02-22,7.20947
2000-02-23,7.21575
2000-02-24,7.21040
2000-02-25,7.19546
2000-02-28,7.20641
2000-02-29,7.21995
2000-03-01,7.22925
2000-03-02,7.23111
2000-03-03,7.25076
2000-03-06,7.23798
2000-03-07,7.21201
2000-03-08,7.22015
2000-03-09,7.24543
2000-03-10,7.24070
2000-03-13,7.23246
2000-03-14,7.21461
2000-03-15,7.23860
2000-03-16,7.28514
2000-03-17,7.28925
2000-03-20,7.28388
2000-03-21,7.30913
2000-03-22,7.31365
2000-03-23,7.33129
2000-03-24,7.33136
2000-03-27,7.32900
2000-03-28,7.31836
2000-03-29,7.31888
2000-03-30,7.30513
2000-03-31,7.31227
2000-04-03,7.31719
2000-04-04,7.30970
2000-04-05,7.30476
2000-04-06,7.31411
2000-04-07,7.32406
2000-04-10,7.31619
2000-04-11,7.31361
2000-04-12,7.29109
2000-04-13,7.27275
2000-04-14,7.21271
2000-04-17,7.24526
2000-04-18,7.27352
2000-04-19,7.26366
2000-04-20,7.26860
2000-04-24,7.26533
2000-04-25,7.29807
2000-04-26,7.28687
2000-04-27,7.28956
2000-04-28,7.28099
2000-05-01,7.29183
2000-05-02,7.27676
2000-05-03,7.25496
2000-05-04,7.25104
2000-05-05,7.26727
2000-05-08,7.26134
2000-05-09,7.25286
2000-05-10,7.23205
